key,en,vi
onboarding.msg_alert_peanut,Removed allergic nuts from the meal plan,Thực đơn đã loại bỏ các loại hạt gây dị ứng
onboarding.lbl_and,and,và
onboarding.lbl_bot_name,Plato AI Coach,Plato AI Coach
onboarding.lbl_bot_status,Online,Trực tuyến
onboarding.msg_chat_0,"Hi there! 👋 I'm Plato - your personal AI Coach. To make things easy, what would you like me to call you?","Chào đằng ấy! 👋 Mình là Plato - AI Coach cá nhân của bạn. Để tiện xưng hô, bạn muốn mình gọi bằng tên gì nhỉ?"
onboarding.msg_chat_1,Hello {name}! ✨ Please let me know your gender and current age.,Chào {name}! ✨ Cho mình biết giới tính và số tuổi hiện tại của bạn nhé.
onboarding.msg_chat_2,"Got it! Next, I need your height and weight to calculate your Total Daily Energy Expenditure (TDEE).","Ghi nhận! Tiếp theo, mình cần chiều cao và cân nặng để tính mức năng lượng tiêu thụ (TDEE) cho bạn."
onboarding.msg_chat_3_bmi,"Height <b>{height} cm</b>, weight <b>{weight} kg</b>.
Your Body Mass Index (BMI) is currently {bmi} (Category: {category}).","Chiều cao <b>{height} cm</b>, nặng <b>{weight} kg</b>.
Chỉ số khối cơ thể (BMI) của bạn đang là {bmi} (Thuộc mức: {category})."
onboarding.msg_chat_3_new_goal,"Based on your current physique, what is your upcoming training and nutrition goal, {name}?","Dựa trên thể trạng hiện tại, mục tiêu tập luyện và định hướng dinh dưỡng sắp tới của {name} là gì?"
onboarding.msg_chat_4_activity,"Next, let me know your daily activity level and training experience.","Kế tiếp, hãy cho mình biết mức độ hoạt động hàng ngày và kinh nghiệm tập luyện của bạn nhé."
onboarding.msg_chat_5_skip_maintain,"Since {name} chose to maintain weight, I will keep your current weight as the goal for your roadmap!","Vì {name} chọn giữ cân, mình sẽ duy trì mức cân nặng hiện tại làm mục tiêu cho lộ trình của bạn nhé!"
onboarding.msg_chat_5_target_wt,"To achieve this goal, what is {name}'s target weight and desired pace of change?","Để đạt được mục tiêu này, cân nặng đích và tốc độ thay đổi mà {name} mong muốn là bao nhiêu?"
onboarding.msg_chat_6,Almost done! Where do you plan to work out and how many days a week can you commit?,Gần xong rồi! Bạn dự định tập luyện ở môi trường nào và có thể dành ra mấy buổi một tuần?
onboarding.msg_chat_7,"Last question: To ensure absolute safety, does {name} have any injuries, medical conditions, or dietary restrictions?","Câu hỏi cuối cùng: Để đảm bảo an toàn tuyệt đối, {name} có đang gặp chấn thương, bệnh lý hay cần kiêng cữ thực phẩm nào không?"
onboarding.msg_chat_8_done,All set! Here is the Profile Summary and Roadmap tailored just for you:,Hoàn tất! Dưới đây là Tóm tắt Hồ sơ và Lộ trình dành riêng cho bạn:
onboarding.msg_chat_8_processing,"Thank you so much, {name}! Give me a moment to analyze and set up your profile... 🚀",Cảm ơn {name} rất nhiều! Đợi mình một xíu để phân tích và thiết lập hồ sơ cho bạn nhé... 🚀
onboarding.msg_chat_8_ready,"Ready, {name}? Tap the button below to start your journey right now! 🔥",Sẵn sàng chưa {name}? Nhấn nút bên dưới để bắt đầu hành trình ngay bây giờ nhé! 🔥
onboarding.fmt_days_approx,~ {arg1} days,~ {arg1} ngày
onboarding.fmt_days_cust,Custom ({arg1} days),Tùy chỉnh ({arg1} ngày)
onboarding.hint_diet_other,Foods to avoid...,Món cần kiêng...
onboarding.msg_err_age_empty,Please enter your age,Vui lòng nhập độ tuổi
onboarding.msg_err_age_invalid,"Invalid age, please provide an age between 13 and 100","Độ tuổi không hợp lệ, vui lòng nhập trong khoảng 13 - 100 tuổi"
onboarding.msg_err_diet_empty,Please enter your Diet details,Vui lòng nhập chi tiết Chế độ ăn của bạn
onboarding.msg_err_goal_mismatch,Warning: The {arg1} goal does not match your target weight! You need to select {arg2}.,Cảnh báo: Mục tiêu {arg1} không khớp với cân nặng mong muốn! Bạn cần chọn {arg2}.
onboarding.msg_err_height_empty,Please enter your height,Vui lòng nhập chiều cao
onboarding.msg_err_height_invalid,Valid height is between 100-250 cm,Chiều cao hợp lệ từ 100-250 cm
onboarding.msg_err_injury_empty,Please enter your Medical/Injury details,Vui lòng nhập chi tiết Bệnh lý / Chấn thương của bạn
onboarding.msg_err_name_empty,Please enter a display name,Vui lòng nhập tên hiển thị
onboarding.msg_err_wt_empty,Please enter your weight,Vui lòng nhập cân nặng
onboarding.msg_err_wt_invalid,Valid weight is between 30-650 kg,Cân nặng hợp lệ từ 30-650 kg
onboarding.lbl_estimated_completion,Estimated completion by,Dự kiến hoàn thành vào
onboarding.fmt_freq,"{arg1}
({arg2})","{arg1}
({arg2})"
onboarding.hint_height,"e.g., 170 (cm)",VD: 170 (cm)
onboarding.hint_injury_other,Describe medical condition...,Mô tả bệnh lý...
onboarding.lbl_kcal_day,Energy (kcal),Năng lượng (kcal)
onboarding.fmt_kg,{arg1} kg,{arg1} kg
onboarding.msg_loading_network,Please maintain a stable network connection for a few moments,Vui lòng giữ kết nối mạng ổn định trong ít phút
onboarding.msg_loading_process,Analyzing roadmap & loading data...,Đang phân tích lộ trình & tải dữ liệu...
onboarding.lbl_macro_carbs,Carbs,Tinh bột
onboarding.lbl_macro_fat,Fat,Chất béo
onboarding.lbl_macro_protein,Protein,Đạm
onboarding.name_cust_program,Personalized Program,Giáo án cá nhân hóa
onboarding.fmt_nutrition_needs,Daily nutrition needs ({arg1}),Nhu cầu dinh dưỡng mỗi ngày ({arg1})
onboarding.title_program_ready,Your program is ready!,Giáo án của bạn đã sẵn sàng!
onboarding.desc_program_ready,"Based on your complete profile, we have compiled the following program into your folder:","Dựa trên toàn bộ hồ sơ, chúng tôi đã biên soạn giáo án sau vào thư mục của bạn:"
onboarding.lbl_select_date,Select date,Chọn ngày
onboarding.btn_start_journey,Start journey,Bắt đầu hành trình
onboarding.title_step_biometrics,Biometric Profile,Hồ sơ sinh học
onboarding.desc_step_biometrics,For calculating basic body metrics,Phục vụ tính toán các chỉ số cơ thể cơ bản
onboarding.title_step_commitment,Training Commitment,Cam kết tập luyện
onboarding.desc_step_commitment,Setting up the most feasible schedule for your time,Thiết lập lịch trình khả thi nhất với thời gian của bạn
onboarding.title_step_health,Health Check,Kiểm tra Y tế
onboarding.desc_step_health,For the AI to filter out dangerous exercises & allergens,Để Trợ lý ảo loại bỏ bài tập nguy hiểm & món ăn gây dị ứng
onboarding.title_step_lifestyle,Lifestyle & Experience,Lối sống & Kinh nghiệm
onboarding.desc_step_lifestyle,System needs to determine your activity multiplier for energy calculation,Hệ thống cần xác định hệ số vận động để tính năng lượng
onboarding.title_step_sum,Action Plan,Kế hoạch Hành động
onboarding.desc_step_sum,The system has established the optimal roadmap for you,Hệ thống đã thiết lập lộ trình tối ưu cho bạn
onboarding.title_step_target,Goal & Nutrition,Mục tiêu & Dinh dưỡng
onboarding.desc_step_target,Detailing your personalized plan,Chi tiết hóa kế hoạch cá nhân của bạn
onboarding.fmt_time_tweak,Time tweak: {arg1} days,Tinh chỉnh thời gian: {arg1} ngày
onboarding.hint_username,Enter your username...,Nhập username của bạn...
onboarding.msg_warn_cardio,"Important Note: With a cardiovascular history, you must consult a specialist before starting this program.","Lưu ý quan trọng: Với tiền sử tim mạch, bạn cần tham khảo ý kiến bác sĩ chuyên khoa trước khi bắt đầu lộ trình."
onboarding.hint_wt,"e.g., 65 (kg)",VD: 65 (kg)
onboarding.lbl_you_fallback,you,bạn
onboarding.eula_intro,"This agreement is a legal contract between you (the User) and {brand} (We/Us) regarding the use of the {app} mobile application. By installing or using the app, you agree to abide by the following terms:","Thỏa thuận này là hợp đồng pháp lý giữa bạn (Người dùng) và {brand} (Chúng tôi) về việc sử dụng ứng dụng di động {app}. Bằng việc cài đặt hoặc sử dụng ứng dụng, bạn đồng ý tuân thủ các điều khoản sau:"
onboarding.eula_p1_desc,"We grant you a limited, non-exclusive, non-transferable, and revocable license to download, install, and use {app} on your personal mobile devices for personal, non-commercial purposes.","Chúng tôi cấp cho bạn một giấy phép giới hạn, không độc quyền, không thể chuyển nhượng và có thể thu hồi để tải xuống, cài đặt và sử dụng {app} trên các thiết bị di động thuộc quyền sở hữu của bạn, phục vụ cho mục đích cá nhân và không thương mại."
onboarding.eula_p1_title,1. License Grant,1. Cấp phép sử dụng
onboarding.eula_p2_desc1,"All rights, title, and interest in and to the {app} application, including but not limited to:","Toàn bộ quyền, danh nghĩa và lợi ích đối với ứng dụng {app}, bao gồm nhưng không giới hạn ở:"
onboarding.eula_p2_desc2,All of these are the exclusive intellectual property of {brand}. Any unauthorized copying or use is a violation of the law.,Tất cả đều là tài sản trí tuệ độc quyền của {brand}. Mọi hành vi sao chép hoặc sử dụng trái phép đều vi phạm pháp luật.
onboarding.eula_p2_item1,• Technology: Algorithms for calculating Rate of Perceived Exertion (RPE) and assessing Muscle Readiness.,"• Công nghệ: Các thuật toán tính toán mức độ nỗ lực (RPE), logic đánh giá độ sẵn sàng của cơ bắp (Muscle Readiness)."
onboarding.eula_p2_item2,"• Design: User Interface (UI), User Experience (UX), the {brand} logo, and the {app} icon.","• Thiết kế: Giao diện người dùng (UI), trải nghiệm người dùng (UX), logo {brand} và biểu tượng {app}."
onboarding.eula_p2_item3,"• Content: Sample workout templates, instructional data, and chart structures.","• Nội dung: Các gói tập mẫu, dữ liệu hướng dẫn và cấu trúc biểu đồ."
onboarding.eula_p2_title,2. Intellectual Property Rights,2. Quyền sở hữu trí tuệ
onboarding.eula_p3_desc1,"You agree not to engage in, and not to permit any third party to engage in, the following activities:",Bạn cam kết không thực hiện và không cho phép bên thứ ba thực hiện các hành vi sau:
onboarding.eula_p3_item1,"• Reverse engineer, decompile, or attempt to extract the source code of the application.","• Dịch ngược (reverse engineer), tháo rời hoặc tìm cách trích xuất mã nguồn của ứng dụng."
onboarding.eula_p3_item2,• Copy {app}'s calculation formulas and recovery logic to build a competing product.,• Sao chép các công thức tính toán và logic phục hồi của {app} để xây dựng sản phẩm cạnh tranh.
onboarding.eula_p3_item3,• Use the application for any illegal purposes or in violation of medical safety disclaimers.,• Sử dụng ứng dụng cho bất kỳ mục đích bất hợp pháp hoặc vi phạm các tuyên bố về an toàn y tế.
onboarding.eula_p3_title,3. Prohibited Conduct,3. Các hành vi bị nghiêm cấm
onboarding.eula_p4_desc,Your use of the application is also subject to our Privacy Policy. You understand that data will be stored locally (SQLite) and synced via cloud services to ensure the best experience. You have the right to request the deletion of your account and all related data at any time.,Việc sử dụng ứng dụng của bạn cũng tuân theo Chính sách bảo mật của chúng tôi. Bạn hiểu rằng dữ liệu sẽ được lưu trữ cục bộ (SQLite) và đồng bộ hóa qua dịch vụ đám mây để đảm bảo trải nghiệm tốt nhất. Bạn có quyền yêu cầu xóa tài khoản và toàn bộ dữ liệu liên quan bất cứ lúc nào.
onboarding.eula_p4_title,4. Data and Privacy,4. Dữ liệu và Quyền riêng tư
onboarding.eula_p5_item1,• Reference nature: {app} provides metrics based on your input data and is not a substitute for professional medical advice.,• Tính chất tham khảo: {app} cung cấp các chỉ số dựa trên dữ liệu đầu vào của bạn và không thay thế cho lời khuyên y tế chuyên nghiệp.
onboarding.eula_p5_item2,• Personal risk: You are solely responsible for any risk of injury arising during workouts suggested by the application.,• Rủi ro: Bạn tự chịu trách nhiệm về mọi rủi ro chấn thương phát sinh trong quá trình tập luyện theo gợi ý của ứng dụng.
onboarding.eula_p5_item3,"• Service: As this is a free version, we are not liable for data loss due to technical errors or force majeure events.","• Dịch vụ: Vì đây là phiên bản miễn phí, chúng tôi không chịu trách nhiệm về các sự cố mất mát dữ liệu do lỗi kỹ thuật hoặc sự cố bất khả kháng."
onboarding.eula_p5_title,5. Limitation of Liability and Medical Disclaimer,5. Giới hạn trách nhiệm và Miễn trừ y tế
onboarding.eula_p6_desc,This agreement remains in effect until terminated by you or us. We reserve the right to suspend or block your access to the application without prior notice if a violation of these terms is detected.,Thỏa thuận này có hiệu lực cho đến khi bạn hoặc chúng tôi chấm dứt. Chúng tôi có quyền tạm ngừng hoặc khóa quyền truy cập ứng dụng của bạn nếu phát hiện vi phạm các điều khoản này mà không cần thông báo trước.
onboarding.eula_p6_title,6. Termination,6. Chấm dứt thỏa thuận
onboarding.eula_updated,Last updated: April 2026,Cập nhật lần cuối: Tháng 4/2026
onboarding.lbl_agree_terms,I have read and agree to the,Tôi đã đọc và đồng ý với
onboarding.lbl_eula_link,EULA Agreement,Thỏa thuận EULA
onboarding.lbl_terms_link,Terms of Use,Điều khoản sử dụng
onboarding.terms_p1_desc1,"Not professional advice: Content and features in the app such as RPE calculation, Muscle Readiness assessment, or workout roadmaps are for reference only. {app} is not a medical organization; our algorithms do not replace advice or diagnosis from a doctor or specialist.","Không phải lời khuyên chuyên môn: Nội dung và các tính năng trong ứng dụng như tính toán RPE, đánh giá Muscle Readiness hay lộ trình tập luyện chỉ mang tính chất tham khảo. {app} không phải là tổ chức y tế; các thuật toán của chúng tôi không thay thế cho sự tư vấn, chẩn đoán từ bác sĩ hoặc chuyên gia."
onboarding.terms_p1_desc2,Personal risk: You voluntarily perform the exercises and are solely responsible for any injuries or damages incurred during training.,Rủi ro cá nhân: Bạn hoàn toàn tự nguyện thực hiện các bài tập và tự chịu trách nhiệm cho bất kỳ tổn thương hoặc thiệt hại nào phát sinh trong quá trình tập luyện.
onboarding.terms_p1_desc3,"Listen to your body: {app} does not guarantee absolute accuracy of metrics compared to actual physiological status. Stop exercising immediately if you feel tightness, dizziness, or shortness of breath.","Lắng nghe cơ thể: {app} không đảm bảo sự chính xác tuyệt đối của các chỉ số so với tình trạng sinh lý thực tế. Hãy dừng tập ngay lập tức nếu cảm thấy đau thắt, chóng mặt hoặc khó thở."
onboarding.terms_p1_title,1. Medical Disclaimer,1. Tuyên bố miễn trừ trách nhiệm y tế
onboarding.terms_p2_desc1,We commit that collected data is used solely for the purpose of personalizing your workout roadmap and calculating muscle recovery.,Chúng tôi cam kết dữ liệu được thu thập duy nhất nhằm mục đích cá nhân hóa lộ trình tập luyện và tính toán khả năng phục hồi của cơ bắp.
onboarding.terms_p2_desc2,"Information collected: Includes email, display name, physical data (height, weight, gender, age), and activity logs (workout history, RPE indices).","Thông tin thu thập: Bao gồm email, tên hiển thị, dữ liệu thể chất (chiều cao, cân nặng, giới tính, tuổi) và nhật ký hoạt động (lịch sử bài tập, chỉ số RPE)."
onboarding.terms_p2_desc3,"Commercial commitment: We do not share, sell, or provide your personal data to any third party for commercial or advertising purposes.","Cam kết thương mại: Chúng tôi không chia sẻ, bán hoặc cung cấp dữ liệu cá nhân của bạn cho bất kỳ bên thứ ba nào vì mục đích thương mại hay quảng cáo."
onboarding.terms_p2_title,2. Data Collection and Use,2. Thu thập và sử dụng dữ liệu
onboarding.terms_p3_desc1,Local storage (SQLite): A portion of data and personal settings are stored directly on your device to ensure quick access and offline functionality. Data is synced to the cloud only when a network connection is available.,Lưu trữ cục bộ (SQLite): Một phần dữ liệu và cài đặt cá nhân được lưu trữ trực tiếp trên thiết bị của bạn để đảm bảo tốc độ truy xuất và khả năng hoạt động ngoại tuyến (offline). Dữ liệu chỉ được đồng bộ lên hệ thống đám mây khi có kết nối mạng.
onboarding.terms_p3_desc2,Infrastructure services (Supabase): We use {brand} to host the database and authenticate users. Data is securely encrypted in transit and at rest according to international standards.,Dịch vụ hạ tầng (Supabase): Chúng tôi sử dụng {brand} để lưu trữ cơ sở dữ liệu và xác thực người dùng. Dữ liệu được mã hóa an toàn khi truyền tải (in transit) và khi lưu trữ (at rest) theo tiêu chuẩn quốc tế.
onboarding.terms_p3_desc3,Data Security: We apply Row Level Security (RLS) to ensure each user can only access their own data.,Bảo mật dữ liệu: Chúng tôi áp dụng Row Level Security (RLS) để đảm bảo mỗi người dùng chỉ có thể truy cập vào dữ liệu của chính mình.
onboarding.terms_p3_title,3. Storage and Third-Party Service Providers,3. Lưu trữ và Bên thứ ba cung cấp dịch vụ
onboarding.terms_p4_desc1,"In compliance with Decree 13/2023 (VN) and international laws, you have full control over your personal data:
• Right to edit: You can change your personal information in the Profile section at any time.
• Right to delete: You have the right to request ""Delete account"". At that point, all data linked to your email will be permanently wiped from the Database or completely anonymized.","Tuân thủ Nghị định 13/2023 (VN) và luật quốc tế, bạn có toàn quyền đối với dữ liệu cá nhân của mình:
• Quyền chỉnh sửa: Bạn có thể thay đổi thông tin cá nhân trong phần Profile bất kỳ lúc nào.
• Quyền xóa bỏ: Bạn có quyền yêu cầu ""Xóa tài khoản"". Khi đó, toàn bộ dữ liệu liên kết với email của bạn sẽ được xóa sạch khỏi Database hoặc ẩn danh hóa hoàn toàn."
onboarding.terms_p4_title,4. User Control Rights,4. Quyền kiểm soát của người dùng
onboarding.terms_p5_desc1,Service nature: {app} provides all current features for free. We reserve the right to change the business model or add premium features in the future and will notify users in advance.,Tính chất dịch vụ: {app} cung cấp toàn bộ tính năng hiện có miễn phí. Chúng tôi bảo lưu quyền thay đổi mô hình kinh doanh hoặc thêm các tính năng cao cấp trong tương lai và sẽ thông báo trước cho người dùng.
onboarding.terms_p5_desc2,"Limitation of liability: To the extent permitted by law, {brand} is not liable for damages arising from the use of the application or technical errors, data loss due to force majeure events.","Giới hạn trách nhiệm: Trong phạm vi pháp luật cho phép, {brand} không chịu trách nhiệm cho các thiệt hại phát sinh từ việc sử dụng ứng dụng hoặc các lỗi kỹ thuật, mất mát dữ liệu do sự cố bất khả kháng."
onboarding.terms_p5_title,5. Service and System Liability,5. Dịch vụ và Trách nhiệm hệ thống
onboarding.title_eula,END USER LICENSE AGREEMENT ({app}),THỎA THUẬN CẤP PHÉP NGƯỜI DÙNG CUỐI ({app})
onboarding.title_terms,PRIVACY POLICY AND TERMS OF USE ({app}),CHÍNH SÁCH BẢO MẬT VÀ ĐIỀU KHOẢN SỬ DỤNG ({app})
profile.activity_active,Very Active,Năng động
profile.activity_light,Lightly Active,Nhẹ nhàng
profile.activity_moderate,Moderately Active,Vừa phải
profile.activity_sedentary,Sedentary,Ít vận động
profile.activity_title,Daily Activity Level,Mức độ vận động hàng ngày
profile.title_crop_avatar,Crop Avatar,Cắt ảnh đại diện
profile.title_crop_image,Crop Image,Cắt ảnh
profile.title_delete_account,Permanently Delete Account?,Xóa tài khoản vĩnh viễn?
profile.desc_delete_account,"All your workout data, rankings, and personal information will be permanently deleted from the system. You cannot undo this action.","Mọi dữ liệu tập luyện, xếp hạng và thông tin cá nhân của bạn sẽ bị xóa vĩnh viễn khỏi hệ thống. Bạn không thể hoàn tác hành động này."
profile.btn_delete_account,Delete Account,Xóa tài khoản
profile.desc_delete_account_short,Permanently delete your identity and data from the server.,Xóa vĩnh viễn định danh và dữ liệu của bạn trên máy chủ.
profile.btn_delete_confirm,Confirm Deletion,Chắc chắn Xóa
profile.lbl_delete_current_avatar,Delete current avatar,Xóa ảnh hiện tại
profile.msg_delete_success,Account successfully deleted.,Tài khoản đã bị xóa.
profile.diet_cust,Other (Custom Allergy),Khác (Dị ứng tùy chỉnh)
profile.diet_dairy,Dairy Allergy,Dị ứng sữa
profile.diet_gluten,Gluten Intolerant,Không nạp Gluten
profile.diet_meat,Avoid Red Meat,Tránh các loại thịt đỏ
profile.diet_peanut,Peanut Allergy,Dị ứng đậu phộng
profile.diet_plan_balanced,Balanced Diet,Cân bằng dinh dưỡng
profile.diet_plan_dash,DASH Diet,Chế độ giảm huyết áp
profile.diet_plan_high_protein,High Protein,Tập trung nhiều đạm
profile.diet_plan_keto,Keto Diet,Chế độ ăn Keto
profile.diet_plan_low_carb,Low Carb,Hạn chế tinh bột
profile.diet_plan_low_fat,Low Fat,Hạn chế chất béo
profile.diet_plan_mediterranean,Mediterranean Diet,Chế độ Địa Trung Hải
profile.diet_plan_paleo,Paleo Diet,Chế độ Nguyên thủy
profile.diet_plan_title,Preferred Diet Plan,Chế độ ăn ưu tiên
profile.diet_title,Special Diets / Allergies,Chế độ ăn uống đặc biệt / Dị ứng
profile.diet_vegan,Vegan,Ăn thuần chay
profile.diet_vegetarian,Vegetarian,Ăn chay
profile.fmt_duration_hm,{arg1}h {arg2}m,{arg1}h {arg2}m
profile.fmt_duration_m,{arg1}m,{arg1}m
profile.env_gym,Gym,Phòng tập
profile.env_home_bodyweight,Home (No equipment),Tại nhà (Không dụng cụ)
profile.env_home_dumbbell,Home (With dumbbells),Tại nhà (Có tạ đơn)
profile.env_title,Training Environment,Môi trường tập
profile.msg_err_text_required,Please enter a description in text.,Vui lòng nhập mô tả bằng chữ.
profile.freq_chill,Relaxed,Thư giãn
profile.freq_high,5-7 sessions/week,5-7 buổi/tuần
profile.freq_low,1-3 sessions/week,1-3 buổi/tuần
profile.freq_mid,3-5 sessions/week,3-5 buổi/tuần
profile.freq_title,Training Frequency per Week,Tần suất tập mỗi tuần
profile.freq_tryhard,Intense,Cao độ
profile.goal_bulk,Build Muscle / Bulk,Tăng cơ
profile.goal_cut,Lose Fat / Cut,Giảm mỡ / Cắt nét
profile.goal_gain_wt,Gain Weight,Tăng cân
profile.goal_lose_wt,Lose Weight,Giảm cân
profile.goal_maintain_wt,Maintain Weight,Giữ cân
profile.goal_nutrition_title,Nutrition Goal,Mục tiêu dinh dưỡng
profile.goal_strength,Increase Strength,Tăng sức mạnh
profile.goal_title,Goal Strategy,Chiến lược mục tiêu
profile.goal_workout_title,Training Goal,Mục tiêu tập luyện
profile.msg_history_empty,You have no workout history yet,Bạn chưa có lịch sử tập luyện nào
profile.fmt_history_more_exercises,+ {arg1} more...,+ {arg1} bài khác...
profile.btn_history_see_all,See All ({arg1}),Xem tất cả ({arg1})
profile.fmt_history_sets,{arg1} sets,{arg1} hiệp
profile.fmt_history_sum,{arg1} exercises • {arg2},{arg1} bài tập • {arg2}
profile.injury_back,Lower Back Pain,Đau thắt lưng
profile.injury_blood_pressure,High Blood Pressure,Huyết áp cao
profile.injury_cardio,Cardiovascular Disease,Bệnh lý tim mạch
profile.injury_cholesterol,High Cholesterol,Mỡ trong máu cao
profile.injury_cust,Other (Custom Condition),Khác (Bệnh lý tùy chỉnh)
profile.injury_diabetes,Diabetes,Bệnh tiểu đường
profile.injury_knee,Knee Pain,Đau khớp gối
profile.injury_shoulder,Shoulder Pain,Đau khớp vai
profile.injury_title,Joint Issues or Medical Conditions,Vấn đề xương khớp hoặc Bệnh lý
profile.err_invalid_body_fat,Body fat percentage must be between 3% and 100%.,Tỉ lệ mỡ phải từ 3% đến 100%.
profile.err_invalid_measurement,Invalid measurement (10 - 500 cm).,Số đo vô lý (10 - 500 cm).
profile.level_advanced,Advanced (Over 2 years),Chuyên nghiệp (Trên 2 năm)
profile.level_intermediate,Intermediate (6 months to 2 years),Có kinh nghiệm (6 tháng đến 2 năm)
profile.level_newbie,Beginner (Under 6 months),Người mới (Dưới 6 tháng)
profile.level_title,Training Experience,Kinh nghiệm tập luyện
profile.btn_logout,Log out securely from this device,Đăng xuất an toàn khỏi thiết bị này
profile.title_logout_dialog,Logout of Account?,Đăng xuất tài khoản?
profile.desc_logout_dialog,Your current login session will be safely logged out from the device. Your data has been stored on the cloud.,Phiên đăng nhập hiện tại sẽ được đăng xuất an toàn khỏi thiết bị. Dữ liệu của bạn đã được lưu trữ trên đám mây.
profile.msg_logout_success,Successfully logged out.,Đã đăng xuất thành công.
profile.title_main,Profile,Cá nhân
profile.lbl_max_rank,You have reached the maximum rank,Bạn đã đạt mức Hạng Tối Đa
profile.measure_biceps,Biceps (cm),Bắp tay (cm)
profile.measure_calves,Calves (cm),Bắp chuối (cm)
profile.measure_chest,Chest (cm),Vòng Ngực (cm)
profile.measure_hips,Hips (cm),Vòng Mông (cm)
profile.measure_neck,Neck (cm),Vòng Cổ (cm)
profile.measure_shoulders,Shoulders (cm),Vòng Vai (cm)
profile.measure_thighs,Thighs (cm),Vòng Đùi (cm)
profile.measure_waist,Waist (cm),Vòng Eo (cm)
profile.btn_menu_cal,Calendar,Lịch trình
profile.btn_menu_edit,Profile,Hồ sơ
profile.btn_menu_exercises,Exercises,Bài tập
profile.btn_menu_stats,Statistics,Thống kê
profile.metric_age,Age,Tuổi
profile.metric_body_fat,Body Fat (%),Tỉ lệ mỡ cơ thể (%)
profile.metric_gender,Gender,Giới tính
profile.metric_height,Height (cm),Chiều cao (cm)
profile.metric_name,Display Name,Tên hiển thị
profile.metric_wt,Weight (kg),Cân nặng (kg)
profile.pace_fast,Fast,Nhanh
profile.pace_normal,Standard,Tiêu chuẩn
profile.pace_relaxed,Relaxed,Thư thả
profile.lbl_pick_from_gallery,Choose from gallery,Chọn ảnh từ thư viện
profile.desc_rank_icon,Rank Icon,Biểu tượng Xếp hạng
profile.title_recent_history,Recent History,Lịch sử gần đây
profile.desc_rp_to_next_rank,Only {rp} RP away from the next rank!,Còn {rp} RP nữa để thăng hạng
profile.title_save_success,Profile saved successfully!,Lưu hồ sơ thành công!
profile.msg_save_success,Your profile information has been updated and saved safely.,Thông tin hồ sơ đã được cập nhật và lưu lại an toàn.
profile.title_settings_main,Profile & Configuration,Hồ sơ & Cấu hình
profile.title_settings_sec_health,Health & Conditions,Sức khỏe & Bệnh lý
profile.title_settings_sec_lifestyle,Lifestyle & Training,Lối sống & Tập luyện
profile.title_settings_sec_metrics,Detailed Body Metrics,Số đo chi tiết cơ thể
profile.side_left,Left Side,Bên Trái
profile.side_right,Right Side,Bên Phải
profile.lbl_stats_followers,followers,người theo dõi
profile.lbl_stats_following,following,đang theo dõi
profile.lbl_stats_workouts,workouts,buổi tập
profile.target_pace,Desired Pace of Change,Tốc độ thay đổi mong muốn
profile.target_wt,Target Weight,Cân nặng mong muốn
profile.btn_unlink_confirm,Unlink,Hủy liên kết
profile.title_unlink_dialog,Unlink Account,Hủy liên kết tài khoản
profile.desc_unlink_dialog,Are you sure you want to unlink? Your data will no longer be synced to the cloud.,Bạn có chắc chắn muốn hủy liên kết? Dữ liệu của bạn sẽ không còn được đồng bộ lên mây nữa.
profile.msg_unlink_success,Successfully unlinked account,Đã hủy liên kết thành công
programs.cardio_gym_int_desc,"A cardiovascular training system with continuously varying, powerful intensities. Strongly emphasizes massive calorie burn, eliminating stubborn fat, and elevating endurance to a completely new standard.","Hệ thống bài tập rèn luyện hệ tim mạch với cường độ thay đổi liên tục và mạnh mẽ. Chú trọng đặc biệt vào khả năng đốt cháy lượng calo khổng lồ, loại bỏ mỡ thừa ngoan cố và nâng tầm sức bền thể lực lên một tiêu chuẩn hoàn toàn mới."
programs.cardio_gym_int_name,Fat Burning Cardio & HIIT (Gym),Cardio & HIIT Đốt Mỡ (Phòng Tập)
programs.combo_db_adv_desc,"Challenge every limit of endurance at home with a relentless 5-day rotating schedule. By pushing dumbbell intensity to the max, this routine drains energy and forces the body to adapt by growing bigger and stronger.","Thách thức mọi giới hạn sức chịu đựng tại nhà với lịch tập năm buổi luân phiên không ngừng nghỉ. Bằng cách đẩy cường độ tạ đơn lên mức cao nhất, giáo án này vắt kiệt năng lượng và ép buộc cơ thể phải thích nghi bằng cách phát triển to hơn và mạnh hơn."
programs.combo_db_adv_name,PPL & Upper/Lower - Advanced (Dumbbell),Đẩy Kéo Chân & Trên Dưới - Nâng Cao (Tạ Đơn)
programs.combo_db_beg_desc,"A hybrid dumbbell version over 3 days a week acting as a primer. Gentle and easy to execute, but still provides enough stimulus for muscles to recognize the need for change and begin a stronger rebuilding process.","Phiên bản kết hợp sử dụng tạ đơn trong ba ngày mỗi tuần mang tính chất khởi động. Nhẹ nhàng, dễ thực hiện nhưng vẫn đảm bảo sự kích thích đủ để cơ bắp nhận biết được sự thay đổi và bắt đầu quá trình tái tạo mạnh mẽ hơn."
programs.combo_db_beg_name,PPL & Upper/Lower - Beginner (Dumbbell),Đẩy Kéo Chân & Trên Dưới - Cơ Bản (Tạ Đơn)
